title,genre
gulag,Adventure
invasion force,Action
the light touch,Adventure
jamaica run,Adventure
roar,Adventure
road to denver,Western
invasion roswell,Action
the last outlaw,Western
passe from hell,Western
the spanish main,Adventure
fluke,Adventure
fallen,Fantasy
comanche station,Western
living hell,Fantasy
abduction,Action
fort vengeance,Adventure
the shooting,Western
tall in the saddle,Western
flight to mars,Fantasy
demolition high,Action
death tunnel,Horror
lancer spy,Adventure
race with the devil,Action
unforgiven,Western
avatar,Fantasy
toy soldiers,Action
pursuit to algiers,Adventure
hell's half acre,Action
alice in wonderland,Fantasy
the rounders,Western
the war lord,Adventure
monster!,Horror
pursued,Western
fort worth,Western
the skeptic,Horror
the dark half,Horror
the paradise virus,Action
the newton boys,Western
black dynamite,Action
westward the women,Western
conspiracy,Action
reminiscence,Fantasy
black horse canyon,Western
run for cover,Western
the viking sagas,Adventure
the v word,Horror
the tall t,Western
battledogs,Action
wind,Adventure
mirrors,Horror
the badlanders,Western
breakout,Action
american kickboxer,Action
a knight's tale,Adventure
grizzly falls,Adventure
last of the redmen,Adventure
return to paradise,Adventure
you can't win'em all,Adventure
odd thomas,Fantasy
the perfection,Horror
pressure,Action
futureworld,Fantasy
virus,Fantasy
the rig ,Action
the mephisto waltz,Horror
accidental switch,Action
dead awake,Horror
paranormal activity,Horror
the mad love,Horror
christopher robin,Adventure
gulliver's travels ,Fantasy
kickboxer: vengeance,Action
